@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
0.176471,0.066667,0.333333,0,South
0.235294,0.066667,0,0.15,East
0.235294,0.133333,0,0.05,North
0,1,1,0.6,Stop
0,0.933333,1,0.6,South
0,0.866667,1,0.6,South
0,0.8,1,0.5,South
0,0.733333,1,0.4,South
0,0.666667,1,0.35,South
0,0.6,1,0.3,South
0,0.533333,1,0.2,South
0,0.466667,1,0.2,South
0,0.466667,1,0.25,South
0,0.4,1,0.15,South
0,0.333333,1,0.05,South
0,0.266667,1,0,South
0,0.2,0.666667,0.1,South
0,0.133333,0.666667,0.05,South
0.058824,0.133333,0.666667,0,East
0.058824,0.2,0.333333,0.05,North
0.058824,0.133333,0.333333,0.05,South
0.058824,0.066667,0,0.45,South
0.058824,0.133333,0,0.4,North
0.058824,0.2,0,0.3,North
0.117647,0.2,0,0.25,East
0.117647,0.266667,0,0.25,North
0.117647,0.333333,0,0.2,North
0.117647,0.4,0,0.15,North
0.117647,0.466667,0,0.05,North
0.176471,0.466667,0,0,East
0,0.2,1,0.3,Stop
0,0.133333,1,0.2,South
0,0.066667,1,0.2,South
0,0,1,0.1,South
0.058824,0,1,0.1,East
0.058824,0.066667,1,0.1,North
0.117647,0.066667,1,0.1,East
0.176471,0.066667,1,0.05,East
0.235294,0.066667,1,0,East
0.294118,0.066667,0.666667,0.05,East
0.294118,0.133333,0.333333,0.3,North
0.294118,0.066667,0.333333,0.3,South
0.294118,0,0.333333,0.2,South
0.352941,0,0.333333,0.1,East
0.411765,0,0.333333,0.05,East
0.470588,0,0.333333,0.05,East
0.529412,0,0.333333,0.05,East
0.529412,0.066667,0.333333,0,North
0.588235,0.066667,0,0.15,East
0.647059,0.066667,0,0.05,East
0.647059,0.133333,0,0.1,North
0.647059,0.066667,0,0.05,South
0.705882,0.066667,0,0.05,East
0.764706,0.066667,0,0,East
0,0.2,1,0.3,Stop
0,0.133333,1,0.25,South
0,0.066667,1,0.2,South
0.058824,0.066667,1,0.15,East
0.117647,0.066667,1,0.1,East
0.176471,0.066667,1,0.05,East
0.235294,0.066667,1,0,East
0.294118,0.066667,0.666667,0.15,East
0.294118,0.133333,0.666667,0.1,North
0.294118,0.2,0.666667,0.05,North
0.352941,0.2,0.666667,0,East
0.411765,0.2,0.333333,0.25,East
0.470588,0.2,0.333333,0.2,East
0.529412,0.2,0.333333,0.15,East
0.529412,0.133333,0.333333,0.1,South
0.529412,0.066667,0.333333,0.05,South
0.529412,0,0.333333,0,South
0.588235,0,0,0.35,East
0.588235,0.066667,0,0.3,North
0.647059,0.066667,0,0.25,East
0.647059,0.133333,0,0.2,North
0.647059,0.2,0,0.15,North
0.705882,0.2,0,0.1,East
0.764706,0.2,0,0.05,East
0.823529,0.2,0,0,East
0,0.2,1,0.3,Stop
0,0.133333,1,0.2,South
0.058824,0.133333,1,0.2,East
0.058824,0.2,1,0.15,North
0.117647,0.2,1,0.15,East
0.117647,0.133333,1,0.05,South
0.176471,0.133333,1,0.05,East
0.176471,0.066667,1,0.05,South
0.176471,0,1,0.05,South
0.176471,0.066667,0.666667,0.1,North
0.176471,0,0.666667,0.1,South
0.235294,0,0.666667,0.1,East
0.235294,0.066667,0.666667,0.1,North
0.235294,0,0.666667,0.1,South
0.294118,0,0.666667,0.1,East
0.294118,0.066667,0.666667,0.1,North
0.352941,0.066667,0.666667,0.1,East
0.352941,0,0.666667,0.05,South
0.411765,0,0.333333,0.15,East
0.470588,0,0.333333,0.15,East
0.529412,0,0.333333,0.05,East
0.588235,0,0,0.35,East
0.588235,0.066667,0,0.25,North
0.647059,0.066667,0,0.25,East
0.647059,0.133333,0,0.15,North
0.647059,0.2,0,0.2,North
0.647059,0.133333,0,0.2,South
0.647059,0.133333,0,0.15,South
0.647059,0.2,0,0.15,North
0.705882,0.2,0,0.1,East
0.764706,0.2,0,0.1,East
0.823529,0.2,0,0.1,East
0.882353,0.2,0,0.1,East
0.941176,0.2,0,0.1,East
1,0.2,0,0.05,East
1,0.133333,0,0.05,South
1,0.066667,0,0.05,South
1,0,0,0.05,South
0.941176,0,0,0.05,West
0.941176,0.066667,0,0,North
0,0.2,1,0.3,Stop
0,0.133333,1,0.25,South
0,0.066667,1,0.2,South
0.058824,0.066667,1,0.15,East
0.117647,0.066667,1,0.1,East
0.176471,0.066667,1,0.05,East
0.235294,0.066667,1,0,East
0.294118,0.066667,0.666667,0.15,East
0.294118,0.133333,0.666667,0.1,North
0.294118,0.2,0.666667,0.05,North
0.352941,0.2,0.666667,0,East
0.411765,0.2,0.333333,0.25,East
0.470588,0.2,0.333333,0.2,East
0.529412,0.2,0.333333,0.15,East
0.529412,0.133333,0.333333,0.1,South
0.529412,0.066667,0.333333,0.05,South
0.529412,0,0.333333,0,South
0.588235,0,0,0.35,East
0.588235,0.066667,0,0.3,North
0.647059,0.066667,0,0.25,East
0.647059,0.133333,0,0.2,North
0.647059,0.2,0,0.15,North
0.705882,0.2,0,0.1,East
0.764706,0.2,0,0.05,East
0.823529,0.2,0,0,East
0,0.533333,1,0.3,Stop
0,0.466667,1,0.3,South
0,0.4,1,0.3,South
0,0.333333,1,0.3,South
0.058824,0.333333,1,0.2,East
0.117647,0.333333,1,0.15,East
0.176471,0.333333,1,0.15,East
0.176471,0.266667,1,0.1,South
0.235294,0.266667,1,0.1,East
0.294118,0.266667,1,0.1,East
0.294118,0.333333,1,0.1,North
0.294118,0.4,1,0,North
0.352941,0.4,0.666667,0.15,East
0.411765,0.4,0.666667,0.05,East
0.470588,0.4,0.666667,0.15,East
0.411765,0.4,0.666667,0.1,West
0.352941,0.4,0.666667,0.1,West
0.411765,0.4,0.666667,0.1,East
0.352941,0.4,0.666667,0.1,West
0.294118,0.4,0.666667,0.1,West
0.294118,0.466667,0.666667,0.1,North
0.294118,0.533333,0.666667,0.1,North
0.352941,0.533333,0.666667,0.1,East
0.411765,0.533333,0.666667,0,East
0.470588,0.533333,0.333333,0.5,East
0.529412,0.533333,0.333333,0.5,East
0.529412,0.466667,0.333333,0.45,South
0.529412,0.4,0.333333,0.45,South
0.529412,0.333333,0.333333,0.35,South
0.529412,0.266667,0.333333,0.35,South
0.529412,0.266667,0.333333,0.3,South
0.529412,0.333333,0.333333,0.4,North
0.529412,0.266667,0.333333,0.4,South
0.529412,0.266667,0.333333,0.35,South
0.529412,0.333333,0.333333,0.25,North
0.529412,0.333333,0.333333,0.3,North
0.529412,0.333333,0.333333,0.25,North
0.529412,0.333333,0.333333,0.2,North
0.529412,0.333333,0.333333,0.25,North
0.529412,0.333333,0.333333,0.3,North
0.529412,0.4,0.333333,0.3,North
0.588235,0.4,0.333333,0.25,East
0.647059,0.4,0.333333,0.15,East
0.705882,0.4,0.333333,0.1,East
0.764706,0.4,0.333333,0.1,East
0.823529,0.4,0.333333,0.1,East
0.882353,0.4,0.333333,0,East
0.882353,0.333333,0,0.7,South
0.882353,0.266667,0,0.6,South
0.823529,0.266667,0,0.5,West
0.764706,0.266667,0,0.45,West
0.764706,0.2,0,0.4,South
0.764706,0.133333,0,0.4,South
0.764706,0.066667,0,0.35,South
0.705882,0.066667,0,0.35,West
0.705882,0.066667,0,0.4,West
0.705882,0,0,0.35,South
0.705882,0,0,0.4,South
0.705882,0.066667,0,0.4,North
0.705882,0,0,0.4,South
0.705882,0.066667,0,0.35,North
0.705882,0.066667,0,0.35,North
0.705882,0.066667,0,0.3,North
0.705882,0.066667,0,0.35,North
0.705882,0,0,0.3,South
0.705882,0,0,0.35,South
0.705882,0,0,0.4,South
0.705882,0,0,0.4,South
0.705882,0,0,0.35,South
0.705882,0,0,0.4,South
0.705882,0,0,0.4,South
0.705882,0,0,0.35,South
0.705882,0,0,0.4,South
0.705882,0.066667,0,0.3,North
0.705882,0.066667,0,0.25,North
0.705882,0.066667,0,0.3,North
0.705882,0.066667,0,0.35,North
0.705882,0.066667,0,0.4,North
0.705882,0,0,0.4,South
0.705882,0,0,0.45,South
0.705882,0,0,0.5,South
0.705882,0,0,0.5,South
0.705882,0,0,0.55,South
0.705882,0.066667,0,0.5,North
0.705882,0.066667,0,0.55,North
0.705882,0,0,0.45,South
0.705882,0,0,0.5,South
0.705882,0,0,0.55,South
0.705882,0,0,0.6,South
0.705882,0.066667,0,0.6,North
0.705882,0.133333,0,0.6,North
0.647059,0.133333,0,0.5,West
0.588235,0.133333,0,0.4,West
0.529412,0.133333,0,0.4,West
0.470588,0.133333,0,0.35,West
0.411765,0.133333,0,0.35,West
0.411765,0.2,0,0.3,North
0.411765,0.2,0,0.35,North
0.411765,0.266667,0,0.25,North
0.352941,0.266667,0,0.25,West
0.294118,0.266667,0,0.2,West
0.235294,0.266667,0,0.2,West
0.176471,0.266667,0,0.2,West
0.117647,0.266667,0,0.1,West
0.058824,0.266667,0,0,West
0.647059,0.466667,1,0.1,Stop
0.647059,0.533333,1,0,North
0.647059,0.6,1,0,North
0.647059,0.533333,1,0,South
0.647059,0.6,1,0.05,North
0.647059,0.533333,0.666667,0.35,South
0.647059,0.6,0.666667,0.3,North
0.647059,0.666667,0.666667,0.25,North
0.588235,0.666667,0.666667,0.25,West
0.588235,0.6,0.666667,0.2,South
0.529412,0.6,0.666667,0.1,West
0.470588,0.6,0.666667,0.1,West
0.470588,0.533333,0.666667,0.1,South
0.470588,0.6,0.666667,0.05,North
0.411765,0.6,0.666667,0.05,West
0.352941,0.6,0.666667,0,West
0.294118,0.6,0.333333,0.35,West
0.294118,0.533333,0.333333,0.35,South
0.294118,0.466667,0.333333,0.3,South
0.294118,0.4,0.333333,0.25,South
0.352941,0.4,0.333333,0.25,East
0.411765,0.4,0.333333,0.25,East
0.411765,0.333333,0.333333,0.2,South
0.470588,0.333333,0.333333,0.15,East
0.529412,0.333333,0.333333,0.15,East
0.588235,0.333333,0.333333,0.15,East
0.588235,0.4,0.333333,0.15,North
0.647059,0.4,0.333333,0.15,East
0.647059,0.333333,0.333333,0.15,South
0.705882,0.333333,0.333333,0.1,East
0.764706,0.333333,0.333333,0.1,East
0.764706,0.4,0.333333,0.1,North
0.823529,0.4,0.333333,0.1,East
0.823529,0.333333,0.333333,0.1,South
0.882353,0.333333,0.333333,0,East
0.941176,0.333333,0,1,East
0.941176,0.266667,0,0.95,South
0.941176,0.2,0,0.85,South
0.941176,0.133333,0,0.75,South
0.941176,0.066667,0,0.75,South
0.882353,0.066667,0,0.75,West
0.882353,0,0,0.65,South
0.823529,0,0,0.65,West
0.823529,0.066667,0,0.65,North
0.764706,0.066667,0,0.65,West
0.764706,0,0,0.6,South
0.705882,0,0,0.5,West
0.647059,0,0,0.5,West
0.647059,0.066667,0,0.45,North
0.588235,0.066667,0,0.45,West
0.588235,0,0,0.35,South
0.529412,0,0,0.35,West
0.470588,0,0,0.35,West
0.470588,0.066667,0,0.35,North
0.470588,0.133333,0,0.25,North
0.411765,0.133333,0,0.2,West
0.352941,0.133333,0,0.2,West
0.294118,0.133333,0,0.2,West
0.294118,0.2,0,0.2,North
0.235294,0.2,0,0.2,West
0.235294,0.266667,0,0.2,North
0.235294,0.333333,0,0.2,North
0.235294,0.266667,0,0.2,South
0.235294,0.2,0,0.1,South
0.176471,0.2,0,0.1,West
0.176471,0.133333,0,0.1,South
0.117647,0.133333,0,0.05,West
0.058824,0.133333,0,0,West
